Id,SalePrice
2658,134543.43319960375
2718,201716.7428919874
2414,185381.8389974337
1989,129488.35513225495
625,189975.1348960738
333,100513.40870113236
1327,120679.30293922861
858,155712.42884123581
95,188219.82972602383
1568,189858.68293568533
2482,160615.64964095142
1364,120532.92818333449
2584,150813.69260007076
818,337741.8494665867
2673,155627.68789813414
2089,114686.88319179809
1297,146638.81110244544
790,113166.10733051808
2616,235590.1506653746
720,155652.41948309616
222,167358.86767966484
557,131828.4528122059
1148,210609.81446599265
2766,158348.68173479097
534,175496.96969111796
1452,114376.37676986994
630,177972.64984812355
2648,145539.71011198586
125,128820.22898031576
1904,65532.48372540182
1670,124851.45159332379
756,95487.75387603368
717,230562.29603627897
1032,184309.19547917647
852,208653.54197347167
1731,157501.01130996368
2639,139017.20353177554
2071,86489.43039434968
1267,105447.11848494475
1851,192399.35352399433
567,166137.61906394057
2439,198750.15341895702
1898,168801.17305290926
647,193320.75911357175
2256,244873.4220503373
979,122680.8125048361
1444,208560.23709215934
2485,128061.90315525919
157,140809.79016542548
88,133227.6764786903
2003,101239.82363243878
186,165114.16690474434
1425,229446.3335852168
2695,133947.43283120642
738,88444.8056500147
395,156011.35260490663
1353,133713.69422497306
1878,171636.1834975266
390,158188.91937246043
1456,226090.59020668524
1103,288463.92730836995
1387,135769.72142432135
2070,177168.62358160465
1199,146980.59321571342
2479,166714.08284040436
501,307391.6033072282
2362,102070.70822783146
1718,230491.63452884817
2188,90757.60041076866
1483,154071.46058061393
2557,92030.68641204413
437,347695.5664851206
2224,223177.30642455266
1628,155922.49329199322
397,134881.1418074419
587,197304.2093474061
2182,535603.645438997
971,141395.30354763955
2611,150356.12959779263
1887,76908.37442618675
2399,373138.0439673454
2148,204212.3009658025
304,112784.35604977934
1997,141451.70220065536
2817,150498.27530605427
1431,194147.39009791534
427,371276.25682036765
263,123317.84981160056
598,167223.57287908602
2895,253030.56247865586
687,143994.21050406783
1822,143925.71762299733
2191,133070.18755834506
179,118411.34574151374
1009,205887.92817328303
2010,125774.6248036246
1991,129932.15953025177
1411,163963.3440983518
1721,244669.69217902047
1144,187245.35156195538
593,181153.95351069092
575,344384.34138439724
1249,173972.38732477723
1604,131729.24153756964
1064,504834.6901024403
1923,157954.781027231
1988,94056.30665262854
2325,175135.55534833673
114,205151.45268779527
2700,189348.14470037937
217,178414.74509657818
343,183115.9267782076
386,217561.5730495546
2005,116546.74895346296
2908,141585.75535695872
1814,217087.67453394545
2446,431202.13292647386
208,158737.22793908202
1679,119607.4091542724
822,333265.2692289786
6,194604.14460290587
1781,358486.1111910394
2397,287931.7267575265
2340,297931.79550942965
1618,160930.1714382884
2843,128724.49186942108
1061,384808.8754745346
2786,113103.46479726754
1935,144026.4477695675
1341,130644.04530124535
521,271479.1613328228
2136,145628.41342127987
996,213134.44459716577
227,161107.13267957012
135,170958.35906372353
1167,178825.57945432808
294,225132.4592617183
1776,189286.66772383827
540,171112.2786750133
1717,230491.63452884817
2303,123984.81628464643
116,197310.94133382273
127,152320.9002783057
1371,126399.63164809227
1014,174929.05905789998
1507,81515.77382500454
702,128899.65538318772
750,132595.7511803532
261,131418.80223982153
1559,86855.47028360814
577,221644.7466507946
2812,184268.7581462764
2080,132838.32943185122
1368,113122.27848724241
2376,131675.14595094862
659,116506.22346507125
1235,123055.38689588719
332,89474.11660007031
1917,141753.34344035148
2094,243239.61336377857
1460,239671.66950827977
1471,207729.69561339307
1509,118656.90715969288
1922,156642.11857590402
433,544205.9534063358
460,311094.26679384033
1116,223709.32211912237
1137,164099.0261491339
53,164786.62828305634
2354,252910.93603976874
1475,182113.00798286265
1761,559420.7186279002
842,145246.72988937545
2739,195869.40936609072
2509,157704.31070091052
1007,189118.86882536535
2610,173548.71585425697
1952,92353.91360928805
2719,196674.1758180903
2921,100693.69584774092
1966,142226.89150242388
292,123477.51608961918
1204,174692.38747869316
1829,289338.4898735297
2419,169629.23782297145
391,157161.30139058342
798,95791.53772156124
481,183683.85865965544
193,183050.15157264803
555,123515.35553127785
899,77720.67265411794
2357,179030.8490935652
328,127370.30230304983
1356,117865.39752800202
1154,107871.59848076665
1730,180392.75126981738
2249,142930.3417034525
1119,237229.20199469588
2856,138699.71268515667
1394,145850.14102259584
2587,109773.11070744369
61,303670.21331768756
2661,185689.8559255029
2711,120994.9935162428
1147,175513.30879273228
757,121425.34762260193
2623,85435.04922761621
2378,163074.09657321128
1413,129630.24982967999
1722,221535.57364075887
1112,213881.28031188756
1623,207123.06930985305
1201,180324.06139249055
1513,142260.63390260382
957,266003.9486422125
1171,282511.9760983867
1145,184668.40982554454
2726,218939.87322907426
703,141645.9213255814
760,89993.07581365132
1964,146124.78751770992
2512,176893.6013754865
159,136635.33018375497
1281,163782.91177358228
468,178699.16490247304
290,109892.83598734786
665,97016.81231554884
1463,230323.51206107857
1792,205597.00451753885
923,144511.6905873009
500,272446.63131592463
1408,185366.8736415344
331,78233.35377218851
170,136481.16346312422
2192,102471.26193551502
2571,275276.83308141114
2314,178594.84213228765
2647,90921.35871924405
422,521902.21310173796
2457,324546.79556819797
1838,203361.53123841283
2805,219460.04152008466
1645,169447.67175834335
1711,300417.7147093145
2825,216075.70268358118
322,378618.11004840554
2103,234850.25623929314
342,112662.63481325249
600,132302.46307987848
488,199359.63390988897
1725,362145.5758824717
2246,248914.2940188174
2847,165129.7717157428
806,208505.4356160918
530,232087.0952364668
963,218981.02574008206
2678,99490.19161356385
171,102568.53669449007
2401,455098.1895178029
805,225504.26289041524
2259,233244.10232996015
1748,163756.7923720774
1361,116941.62512581024
1677,111268.85633758394
1406,136857.2658878394
2322,207163.05428433424
688,146837.8115151969
143,142236.11877178025
804,199802.05841076034
1214,157677.07939034133
2828,124523.62331885334
1999,201427.21803667193
2467,185339.08713712732
2665,131430.0570888071
1538,302379.9851288261
398,129211.14939820545
2822,131249.29444831648
2157,143019.51079048417
1856,218053.44621157742
1269,85016.76989701744
2570,115660.6710426041
2320,213778.00984110386
1517,113694.53805929633
2304,119951.89374864318
1312,100987.8824274274
2012,113475.38708580298
506,223905.08162176923
2865,173553.24186844638
2367,96323.96089544577
554,102342.46978788203
238,124286.78054961002
1954,113204.7835496506
2488,129142.76473893
2291,102335.50524486216
1969,79484.2762885462
2725,194165.77689179467
1482,154071.46058061393
2763,182678.64994884294
503,269147.57722602924
1584,235606.16040519232
1531,145464.65295709745
2210,152394.72145091815
459,383141.01675718185
556,132116.44215956161
1347,138481.7848732476
1290,77979.42518980852
1388,106823.83350486234
1571,261024.5622873279
2754,200457.90491033244
765,135793.162686108
2494,125820.71153330986
2870,223918.80409585396
7,208774.55789864602
1114,221009.48674377584
2418,236067.19854864298
291,124990.9837388243
18,356831.95081589656
39,398033.07526249735
1001,241350.20091490133
2442,218556.3360718889
616,116622.6491559147
2680,55710.519153116926
1414,118688.30747892814
289,138586.85661672452
40,229564.7248518425
860,128144.91542932924
409,131088.8528158332
673,167486.3959561215
2427,164101.3120389384
2036,197028.4979047543
2564,157956.34908304733
642,172961.72070408857
1008,173156.16990331456
1908,143724.92771528504
2519,197272.69517800934
1369,98775.19203483862
2855,142964.05677824633
712,81706.91046553258
1943,143567.32827495597
1958,126186.27483512867
107,131396.9673380454
2295,243452.50479186414
704,100539.39487366515
676,115289.34584319673
259,172547.0234039068
93,271586.6361611839
106,234716.23506538168
2315,197936.84242076866
1050,109697.98802657888
1095,188552.10389845914
2709,155236.24532663633
758,157553.9818612661
1496,147448.6413526748
2370,114595.23637768794
2458,235785.9713990424
2733,136969.54079429153
161,243789.12651128846
726,142636.39169545265
845,190489.26644618352
947,225238.81641949553
2232,131315.35599998847
2563,147268.51683416808
2299,154238.73524244296
211,112735.02209785227
605,181069.67187551517
